iter	Passed	Remaining
0	173	173700
1	209	104676
2	243	80897
3	277	69079
4	311	61892
5	341	56627
6	374	53101
7	403	50035
8	438	48247
9	471	46685
10	499	44922
11	531	43743
12	561	42607
13	589	41541
14	618	40614
15	650	39990
16	683	39529
17	719	39231
18	752	38871
19	782	38360
20	813	37931
21	848	37739
22	880	37394
23	910	37024
24	939	36640
25	970	36340
26	1001	36078
27	1036	35979
28	1065	35677
29	1099	35540
30	1128	35288
31	1159	35082
32	1188	34821
33	1218	34616
34	1247	34400
35	1279	34249
36	1312	34152
37	1346	34077
38	1376	33916
39	1408	33808
40	1445	33810
41	1476	33674
42	1509	33604
43	1537	33415
44	1567	33258
45	1595	33085
46	1619	32842
47	1647	32677
48	1674	32495
49	1701	32326
50	1729	32184
51	1757	32036
52	1782	31850
53	1808	31683
54	1836	31560
55	1864	31425
56	1890	31282
57	1920	31184
58	1953	31148
59	1978	31000
60	2006	30887
61	2032	30755
62	2060	30648
63	2087	30529
64	2116	30448
65	2142	30313
66	2169	30216
67	2195	30093
68	2223	30003
69	2247	29858
70	2273	29747
71	2300	29652
72	2324	29519
73	2350	29412
74	2372	29258
75	2397	29152
76	2424	29066
77	2451	28975
78	2479	28903
79	2503	28789
80	2529	28703
81	2555	28609
82	2577	28481
83	2605	28417
84	2634	28354
85	2660	28271
86	2684	28172
87	2713	28117
88	2744	28092
89	2772	28036
90	2798	27955
91	2821	27849
92	2846	27761
93	2872	27690
94	2896	27595
95	2925	27543
96	2954	27502
97	2981	27446
98	3007	27372
99	3033	27303
100	3059	27229
101	3084	27159
102	3106	27057
103	3137	27030
104	3164	26977
105	3191	26920
106	3216	26844
107	3248	26828
108	3274	26767
109	3300	26703
110	3325	26634
111	3350	26560
112	3376	26501
113	3401	26433
114	3427	26376
115	3456	26343
116	3485	26302
117	3514	26266
118	3537	26192
119	3565	26145
120	3590	26085
121	3618	26040
122	3646	26002
123	3672	25940
124	3699	25897
125	3724	25836
126	3750	25783
127	3775	25718
128	3798	25644
129	3825	25599
130	3855	25575
131	3883	25536
132	3908	25476
133	3936	25438
134	3966	25415
135	3993	25373
136	4022	25341
137	4047	25282
138	4074	25235
139	4102	25201
140	4127	25144
141	4152	25091
142	4178	25042
143	4212	25043
144	4248	25052
145	4286	25074
146	4319	25063
147	4347	25026
148	4370	24963
149	4400	24934
150	4426	24889
151	4453	24846
152	4478	24793
153	4508	24765
154	4532	24706
155	4555	24646
156	4580	24593
157	4607	24552
158	4634	24512
159	4658	24455
160	4682	24401
161	4712	24375
162	4736	24319
163	4759	24261
164	4789	24237
165	4817	24202
166	4847	24179
167	4876	24148
168	4901	24102
169	4931	24075
170	4955	24023
171	4987	24008
172	5014	23971
173	5040	23929
174	5070	23904
175	5097	23867
176	5120	23810
177	5151	23790
178	5175	23737
179	5204	23707
180	5230	23668
181	5259	23640
182	5286	23602
183	5309	23544
184	5331	23487
185	5361	23461
186	5385	23414
187	5412	23376
188	5438	23338
189	5472	23330
190	5497	23284
191	5524	23248
192	5550	23208
193	5580	23185
194	5605	23139
195	5627	23085
196	5656	23058
197	5684	23024
198	5710	22983
199	5735	22941
200	5759	22893
201	5784	22853
202	5814	22828
203	5845	22810
204	5871	22770
205	5896	22727
206	5922	22688
207	5945	22640
208	5970	22597
209	6001	22577
210	6030	22550
211	6057	22515
212	6088	22497
213	6118	22472
214	6144	22436
215	6171	22399
216	6203	22385
217	6229	22346
218	6254	22305
219	6280	22268
220	6304	22221
221	6334	22200
222	6358	22155
223	6382	22109
224	6411	22082
225	6434	22037
226	6462	22006
227	6488	21968
228	6514	21932
229	6540	21897
230	6566	21860
231	6592	21823
232	6617	21782
233	6647	21760
234	6669	21709
235	6695	21673
236	6720	21635
237	6744	21593
238	6770	21559
239	6796	21522
240	6822	21487
241	6849	21452
242	6873	21412
243	6901	21382
244	6927	21349
245	6957	21323
246	6985	21295
247	7010	21258
248	7036	21223
249	7062	21188
250	7090	21158
251	7115	21121
252	7136	21071
253	7164	21042
254	7190	21007
255	7224	20996
256	7254	20971
257	7280	20937
258	7304	20898
259	7329	20859
260	7355	20827
261	7386	20807
262	7414	20776
263	7439	20741
264	7465	20705
265	7497	20689
266	7527	20664
267	7558	20645
268	7583	20607
269	7614	20586
270	7638	20546
271	7664	20513
272	7689	20476
273	7720	20456
274	7745	20420
275	7771	20386
276	7795	20345
277	7823	20318
278	7849	20284
279	7874	20247
280	7903	20223
281	7930	20192
282	7956	20159
283	7983	20126
284	8010	20096
285	8034	20058
286	8059	20021
287	8084	19985
288	8108	19949
289	8140	19929
290	8167	19900
291	8199	19881
292	8230	19860
293	8258	19830
294	8288	19808
295	8317	19781
296	8343	19749
297	8372	19723
298	8397	19688
299	8423	19655
300	8457	19639
301	8484	19609
302	8509	19573
303	8535	19540
304	8562	19510
305	8586	19473
306	8609	19433
307	8637	19405
308	8664	19375
309	8691	19344
310	8718	19314
311	8742	19278
312	8768	19244
313	8792	19208
314	8817	19173
315	8841	19137
316	8872	19116
317	8897	19082
318	8922	19047
319	8945	19009
320	8976	18987
321	9000	18951
322	9024	18915
323	9047	18876
324	9072	18842
325	9096	18807
326	9126	18784
327	9159	18765
328	9185	18733
329	9216	18712
330	9239	18674
331	9269	18649
332	9300	18629
333	9325	18594
334	9350	18562
335	9378	18533
336	9403	18500
337	9432	18473
338	9457	18440
339	9484	18410
340	9510	18380
341	9533	18342
342	9558	18309
343	9584	18277
344	9617	18258
345	9644	18230
346	9672	18201
347	9699	18171
348	9726	18143
349	9751	18109
350	9777	18077
351	9800	18042
352	9835	18026
353	9858	17989
354	9882	17956
355	9906	17920
356	9935	17895
357	9961	17864
358	9991	17839
359	10019	17813
360	10044	17780
361	10070	17748
362	10095	17715
363	10115	17674
364	10140	17641
365	10169	17615
366	10200	17594
367	10232	17573
368	10264	17552
369	10292	17524
370	10316	17490
371	10341	17457
372	10367	17427
373	10394	17398
374	10422	17370
375	10447	17338
376	10474	17308
377	10503	17283
378	10533	17259
379	10562	17232
380	10588	17202
381	10611	17167
382	10637	17137
383	10664	17107
384	10689	17075
385	10719	17051
386	10754	17035
387	10785	17012
388	10814	16986
389	10841	16956
390	10868	16928
391	10894	16897
392	10921	16868
393	10946	16835
394	10971	16804
395	10996	16771
396	11020	16739
397	11048	16712
398	11073	16680
399	11099	16649
400	11128	16623
401	11153	16591
402	11184	16569
403	11211	16539
404	11234	16505
405	11259	16473
406	11286	16443
407	11312	16414
408	11336	16381
409	11361	16350
410	11385	16316
411	11414	16290
412	11437	16255
413	11464	16227
414	11487	16193
415	11516	16167
416	11546	16143
417	11571	16111
418	11597	16081
419	11621	16048
420	11646	16017
421	11674	15989
422	11700	15960
423	11729	15934
424	11754	15903
425	11778	15870
426	11805	15841
427	11831	15812
428	11856	15780
429	11880	15748
430	11911	15725
431	11936	15694
432	11965	15668
433	11989	15636
434	12016	15607
435	12044	15580
436	12070	15550
437	12094	15517
438	12121	15489
439	12145	15457
440	12169	15425
441	12196	15397
442	12221	15366
443	12243	15332
444	12267	15300
445	12292	15268
446	12317	15238
447	12344	15210
448	12372	15183
449	12396	15150
450	12419	15118
451	12445	15089
452	12472	15061
453	12498	15030
454	12524	15002
455	12548	14970
456	12579	14946
457	12612	14925
458	12641	14900
459	12666	14869
460	12693	14840
461	12719	14811
462	12746	14783
463	12774	14756
464	12801	14728
465	12831	14703
466	12859	14677
467	12886	14649
468	12913	14621
469	12937	14588
470	12962	14558
471	12987	14528
472	13012	14497
473	13035	14465
474	13067	14442
475	13094	14414
476	13122	14388
477	13152	14363
478	13177	14332
479	13205	14305
480	13229	14274
481	13252	14242
482	13276	14211
483	13300	14179
484	13324	14149
485	13352	14121
486	13381	14095
487	13409	14069
